,Hook and Line,Monofilament,Netting,Packing band,Rope,Rubber band,Scar,Flasher,Unknown
Female,1,5,2,62,1,2,41,3,57
Male,0,9,1,52,5,2,50,10,102
Unknown,1,1,0,17,0,7,13,9,11
