Year,Entanglement,Debris
2012,0.2,0.144144144
2013,0.32183908,0.154269972
2014,0.338461538,0.221393035
2015,0.204545455,0.116104869
2016,0.322580645,0.251207729
2017,0.184615385,0.126262626
2018,0.194444444,0.273809524
